EdgeID,Tension,stdError
8,1.044339,0.436258,Normal-Normal
9,0.332622,0.269059,Normal-Normal
11,0.425486,0.284941,Normal-Normal
12,0.918490,0.492903,Normal-Normal
14,0.855029,0.389124,Normal-Normal
17,0.623242,0.386527,Normal-Normal
19,0.799087,0.327553,Normal-Normal
20,0.880936,0.328259,Normal-Normal
21,0.844650,0.340957,Normal-Normal
22,0.796024,0.416655,Normal-Normal
23,0.572893,0.280904,Normal-Normal
24,0.587598,0.306321,Normal-Normal
25,0.888417,0.321516,Normal-Normal
26,1.047081,0.359860,Normal-Normal
27,1.430530,0.457702,Normal-Normal
30,0.594494,0.382713,Normal-Normal
33,1.629507,0.545408,Normal-Normal
34,0.794334,0.277481,Normal-Normal
35,0.974788,0.325112,Normal-Normal
36,1.062137,0.344655,Normal-Normal
37,0.495771,0.279877,Normal-Normal
38,0.551071,0.267572,Normal-Normal
39,0.504682,0.297084,Normal-Normal
40,0.582752,0.265367,Normal-Normal
41,0.518786,0.240920,Normal-Normal
42,0.681572,0.286047,Normal-Normal
43,1.740252,0.535205,Normal-Normal
44,1.572197,0.466068,Normal-Normal
45,0.810468,0.289557,Normal-Normal
47,0.705353,0.435199,Normal-Normal
48,0.753526,0.277078,Normal-Normal
49,0.936202,0.309033,Normal-Normal
50,0.622033,0.252112,Normal-Normal
51,0.730004,0.392799,Normal-Normal
52,0.418483,0.232752,Normal-Normal
53,0.370370,0.231490,Normal-Normal
54,1.009879,0.361568,Normal-Normal
55,0.767282,0.291498,Normal-Normal
56,0.727971,0.280783,Normal-Normal
57,1.051751,0.333029,Normal-Normal
58,0.886714,0.295932,Normal-Normal
59,1.061576,0.336463,Normal-Normal
61,1.259316,0.483112,Normal-Normal
62,1.111107,0.404277,Normal-Normal
63,1.025866,0.358393,Normal-Normal
64,0.962464,0.341679,Normal-Normal
65,0.899304,0.325317,Normal-Normal
66,0.718316,0.276372,Normal-Normal
67,0.395754,0.203322,Normal-Normal
