EdgeID,Tension
6,0.503218
8,0.585251
10,0.766637
12,0.584409
14,0.656940
16,0.705478
18,0.635541
20,0.586467
23,0.740172
24,0.836211
25,0.867910
26,1.095440
27,0.978816
28,0.992908
29,1.288708
30,0.968271
31,0.950865
32,1.270821
33,1.002975
34,0.996473
35,1.323344
36,1.080641
37,1.118161
38,1.423700
39,1.094873
40,1.060510
41,1.406039
42,1.050191
43,0.990345
44,1.391665
45,0.992268
46,0.980908
47,1.359867
49,1.101683
50,1.413867
52,0.882233
53,0.879204
54,0.883762
55,0.543962
56,0.905866
57,1.004946
58,0.552917
59,1.031276
60,1.004022
61,0.697304
62,1.069176
63,1.117412
64,0.799037
65,1.129895
66,1.131637
67,0.714555
68,1.122182
69,1.106166
70,0.699495
71,1.122955
72,1.059100
73,0.805690
74,1.080303
75,1.085224
76,0.707886
78,1.100260
79,1.115499
80,0.706017
82,0.790435
83,0.787681
84,0.846833
85,0.859128
86,1.113194
87,0.857244
88,0.892718
89,1.181510
90,0.947078
91,0.979145
92,1.123418
93,1.094323
94,1.058526
95,1.279424
96,1.107842
97,1.128144
98,1.467956
99,1.048087
100,1.036872
101,1.447083
102,1.138899
103,1.092445
104,1.350284
105,1.130362
106,1.126265
107,1.519609
109,1.230012
110,1.619553
112,0.892330
113,0.888470
114,0.869494
115,0.552350
116,0.857851
117,0.904254
118,0.541025
119,0.944632
120,1.001974
121,0.696022
122,1.053544
123,1.102459
124,0.793089
125,1.144213
126,1.174773
127,0.720888
128,1.127763
129,1.058943
130,0.811082
131,1.121321
132,1.164639
133,0.835653
134,1.194880
135,1.215325
136,0.756841
138,1.232342
139,1.186582
140,0.779298
142,0.805968
143,0.803667
144,0.848060
145,0.843496
146,1.138327
147,0.874923
148,0.917895
149,1.230124
150,0.950293
151,0.972761
152,1.130896
153,1.085037
154,1.050731
155,1.261425
156,0.995069
157,1.033902
158,1.401641
159,1.056819
160,1.035652
161,1.320555
162,1.140853
163,1.128450
164,1.304543
165,1.179482
166,1.161393
167,1.470850
169,1.267266
170,1.668708
172,0.925667
173,0.922582
174,0.913332
175,0.605042
176,0.900743
177,0.923448
178,0.598741
179,0.953263
180,0.998457
181,0.684288
182,1.039344
183,1.072609
184,0.782185
185,1.070305
186,1.049123
187,0.727463
188,1.022342
189,1.059418
190,0.767133
191,1.169502
192,1.143506
193,0.852355
194,1.129723
195,1.226078
196,0.854066
198,1.269148
199,1.222258
200,0.865012
202,0.755862
203,0.792541
204,0.856639
205,0.791342
206,1.005381
207,0.799774
208,0.879846
209,1.117057
210,0.928211
211,0.950821
212,1.107198
213,0.987139
214,0.921885
215,1.135857
216,0.951580
217,1.022512
218,1.344703
219,1.060057
220,1.066130
221,1.297676
222,1.217498
223,1.225916
224,1.363179
225,1.189802
226,1.123744
227,1.498271
229,1.225910
230,1.634066
232,0.814052
233,0.759510
234,0.779411
235,0.606588
236,0.818891
237,0.858870
238,0.566934
239,0.840625
240,0.852815
241,0.595125
242,0.920437
243,0.987413
244,0.643194
245,1.010628
246,1.022354
247,0.690703
248,1.027365
249,1.057955
250,0.733194
251,1.186064
252,1.216258
253,0.843708
254,1.188016
255,1.248445
256,0.998813
258,1.296514
259,1.261124
260,0.932897
262,0.634574
263,0.631101
265,0.661392
266,0.650142
267,0.788059
269,0.720669
270,0.747236
271,0.920526
273,0.754712
274,0.770387
275,0.890912
277,0.826259
278,0.840643
279,0.964672
281,0.919120
282,0.928269
283,1.065499
285,0.947947
286,1.015882
287,1.166772
289,1.095246
290,1.146380
291,1.234361
293,1.317838
294,1.319146
295,1.472178

CellID,Pressures
2,-0.015520
3,-0.011182
4,-0.005958
5,-0.007269
6,-0.008061
7,-0.002662
8,-0.004643
9,-0.006326
10,-0.000201
11,0.002442
12,0.002509
13,0.006779
14,0.005299
15,0.008884
16,0.011245
17,0.010997
18,0.010390
19,0.011212
20,0.011212
21,-0.009810
22,-0.009810
23,-0.009126
24,-0.005785
25,-0.004066
26,-0.005056
27,-0.003700
28,-0.002612
29,-0.003450
30,-0.002323
31,0.001800
32,0.002644
33,0.002145
34,0.004177
35,0.009643
36,0.012111
37,0.008766
38,0.012603
39,0.014344
40,0.014344
41,-0.009995
42,-0.009995
43,-0.010070
44,-0.005421
45,-0.004022
46,-0.004327
47,-0.003229
48,-0.001595
49,-0.002530
50,-0.003048
51,0.002180
52,0.002967
53,0.002656
54,0.004035
55,0.008796
56,0.007312
57,0.008045
58,0.010399
59,0.013611
60,0.013611
61,-0.008646
62,-0.008646
63,-0.010531
64,-0.005934
65,-0.004027
66,-0.006629
67,-0.003822
68,-0.000529
69,-0.001706
70,-0.003447
71,-0.002336
72,-0.000352
73,0.000789
74,0.002036
75,0.005269
76,0.006368
77,0.007217
78,0.010831
79,0.011405
80,0.011405
81,-0.012382
82,-0.012382
83,-0.011193
84,-0.009475
85,-0.007207
86,-0.006594
87,-0.005519
88,-0.000753
89,-0.000962
90,-0.003184
91,-0.010859
92,-0.005935
93,-0.002594
94,-0.003314
95,-0.000398
96,0.003175
97,0.003003
98,0.005019
99,0.017468
