EdgeID,Tension
6,1.028131
8,0.134475
10,0.136457
12,0.293637
14,0.164283
16,0.129832
18,0.034952
20,0.090995
23,3.638841
24,15.818109
25,15.740692
26,15.920767
27,0.110897
28,0.132062
29,15.727465
30,1.434113
31,1.431222
32,1.413551
33,0.260160
34,0.277207
35,1.428167
36,1.249332
37,1.238267
38,1.219077
39,0.128202
40,0.123676
41,1.216801
42,0.750750
43,0.748935
44,0.766246
45,0.097130
46,0.096608
47,0.754124
49,0.101692
50,0.100551
52,1.471627
53,1.238147
54,15.645427
55,1.375694
56,15.695691
57,0.352277
58,0.394487
59,0.280352
61,0.219408
62,1.406548
63,0.258585
64,0.031219
65,0.232131
66,1.210555
67,0.244711
68,1.229010
69,0.134893
70,0.093512
71,0.109241
72,0.753971
73,0.095409
74,0.747288
75,0.094587
76,0.012978
78,0.091993
79,0.099164
80,0.076868
82,1.380179
83,1.386297
84,6.067091
85,6.038719
86,6.105734
87,0.097339
88,0.113679
89,6.029241
90,1.361154
91,1.358613
92,1.348220
93,0.266083
94,0.306436
95,1.374691
96,1.435214
97,1.429761
98,1.444718
99,0.039669
100,0.051216
101,1.424514
102,0.395092
103,0.394231
104,0.390374
105,0.061580
106,0.067604
107,0.396578
109,0.068055
110,0.065095
112,0.575036
113,0.477551
114,6.000243
115,0.542715
116,6.016292
117,0.148382
118,0.192489
119,0.129449
121,0.114734
122,1.353632
123,0.215163
124,0.019502
125,0.152469
126,1.412132
127,0.168034
128,1.420624
129,0.049908
130,0.061073
131,0.069439
132,0.387967
133,0.049796
134,0.389554
135,0.060838
136,0.025754
138,0.068614
139,0.067934
140,0.064160
142,0.620272
143,0.676408
144,2.958496
145,2.945607
146,2.976151
147,0.054536
148,0.086467
149,2.938019
150,0.843283
151,0.843240
153,0.171819
154,0.201371
155,0.854371
156,0.935143
157,0.930796
158,0.941866
159,0.022751
160,0.041184
161,0.930354
162,0.524276
163,0.525804
164,0.518493
165,0.059067
166,0.078723
167,0.528781
169,0.094367
170,0.106386
172,0.238885
173,0.211573
174,2.929041
175,0.215533
176,2.930829
177,0.086728
178,0.066962
179,0.086843
181,0.089122
182,0.841403
183,0.133539
184,0.015499
185,0.098723
186,0.932363
187,0.122544
188,0.925856
189,0.095429
190,0.044882
191,0.101470
192,0.513189
193,0.076046
194,0.510593
195,0.117593
196,0.038672
198,0.107006
199,0.100968
200,0.118693
202,0.233501
203,0.248833
204,1.025892
205,1.021308
206,1.030616
207,0.073618
208,0.082725
210,0.667370
211,0.667269
213,0.130765
214,0.148849
215,0.675697
216,0.686855
217,0.685151
218,0.690093
219,0.030823
220,0.054404
221,0.686065
222,1.722877
223,1.721767
224,1.717321
225,0.140235
226,0.140458
227,1.726443
229,0.151709
230,0.162778
232,0.171153
233,0.184712
234,1.021246
235,0.160400
236,1.019194
237,0.093090
238,0.090092
239,0.092132
241,0.093546
242,0.665537
243,0.109306
244,0.092419
245,0.101076
246,0.682875
247,0.089716
248,0.682968
249,0.080382
250,0.027818
251,0.082058
253,0.085688
255,0.152664
256,0.103582
258,0.149066
259,0.147637
260,0.142207
262,0.142990
263,0.132510
265,0.104501
266,0.084089
267,0.112752
269,0.084582
270,0.085836
271,0.093104
273,0.083340
274,0.083718
275,0.079500
277,0.085558
278,0.076301
279,0.084454
281,0.056531
282,0.052885
283,0.068627
285,0.067681
286,0.089187
287,0.058247
289,0.113487
290,0.128247
291,0.103293
293,0.148207
294,0.163729
295,0.150806

CellID,Pressures
2,0.092186
3,-0.014942
4,-0.003750
5,-0.006738
6,-0.005907
7,-0.011705
8,-0.013878
9,-0.014351
10,-0.013468
11,0.069238
12,0.563382
13,-0.002846
14,0.039780
15,-0.006406
16,0.029085
17,-0.012415
18,0.010444
19,-0.013765
20,-0.013765
21,-0.000324
22,-0.000324
23,-0.016378
24,-0.011658
25,-0.009775
26,-0.009928
27,-0.013576
28,-0.014697
29,-0.014721
30,-0.014373
31,0.005683
32,0.197172
33,-0.014390
34,0.032880
35,-0.009040
36,0.036096
37,-0.014408
38,-0.002364
39,-0.014841
40,-0.014841
41,-0.016965
42,-0.016965
43,-0.022186
44,-0.017946
45,-0.014417
46,-0.014777
47,-0.016428
48,-0.015501
49,-0.015565
50,-0.015452
51,-0.013052
52,0.081128
53,-0.020851
54,0.011474
55,-0.014256
56,0.015435
57,-0.015876
58,0.001641
59,-0.015950
60,-0.015950
61,-0.023724
62,-0.023724
63,-0.024770
64,-0.021222
65,-0.017724
66,-0.017218
67,-0.017219
68,-0.016354
69,-0.016171
70,-0.016309
71,-0.021566
72,0.009787
73,-0.022754
74,0.003071
75,-0.016825
76,0.005155
77,-0.017364
78,0.043648
79,-0.016401
80,-0.016401
81,-0.022491
82,-0.022491
83,-0.022777
84,-0.021358
85,-0.019161
86,-0.018304
87,-0.017752
88,-0.017277
89,-0.016755
90,-0.016899
91,-0.022911
92,-0.022892
93,-0.022168
94,-0.020565
95,-0.018462
96,-0.017977
97,-0.017883
98,-0.016444
99,-0.015259
