EdgeID,Tension
6,0.023220
8,0.028305
10,0.039004
12,0.029398
14,0.031919
16,0.035585
18,0.032443
20,0.028906
23,0.028718
24,0.033210
25,0.034967
26,0.037776
27,0.040906
28,0.043753
29,0.046033
30,0.044819
31,0.045048
32,0.051901
33,0.046023
34,0.044359
35,0.057178
36,0.046857
37,0.049562
38,0.055240
39,0.049869
40,0.049444
41,0.056620
42,0.048896
43,0.045543
44,0.059871
45,0.043961
46,0.043092
47,0.055514
49,0.046249
50,0.055178
52,0.047836
53,0.049179
54,0.051459
55,0.055676
56,0.058440
57,0.067609
58,0.059094
59,0.074121
60,0.077728
61,0.085631
62,0.077743
63,0.075159
64,0.096719
65,0.073881
66,0.077000
67,0.086590
68,0.079509
69,0.084623
70,0.088770
71,0.083763
72,0.079584
73,0.107186
74,0.072055
75,0.069933
76,0.087163
78,0.071123
79,0.078111
80,0.079333
82,0.074100
83,0.068586
84,0.071003
85,0.075083
86,0.081675
87,0.083084
88,0.094555
89,0.095834
90,0.102103
91,0.107337
92,0.110216
93,0.117522
94,0.113178
95,0.128989
96,0.120002
97,0.126162
98,0.146493
99,0.120656
100,0.119893
101,0.155238
102,0.123645
103,0.113608
104,0.141352
105,0.108689
106,0.106231
107,0.140434
109,0.108700
110,0.139102
112,0.107684
113,0.105057
114,0.113063
115,0.133725
116,0.129777
117,0.151210
118,0.139244
119,0.167475
120,0.178294
121,0.200971
122,0.183750
123,0.184036
124,0.232475
125,0.204343
126,0.235475
127,0.226435
128,0.250161
129,0.260345
130,0.314069
131,0.254328
132,0.236678
133,0.339918
134,0.208964
135,0.215542
136,0.292363
138,0.212903
139,0.219077
140,0.271319
142,0.191412
143,0.186796
144,0.197043
145,0.199343
146,0.252799
147,0.222832
148,0.251502
149,0.285357
150,0.265909
151,0.267988
152,0.313666
153,0.305897
154,0.316964
155,0.320715
156,0.339288
157,0.379560
158,0.437113
159,0.402952
160,0.404184
161,0.486812
162,0.438613
163,0.424907
164,0.505921
165,0.423479
166,0.403403
167,0.539399
169,0.426979
170,0.558951
172,0.335379
173,0.415648
174,0.424871
175,0.460145
176,0.441635
177,0.486207
178,0.534989
179,0.520804
180,0.563166
181,0.639603
182,0.638798
183,0.652427
184,0.768486
185,0.675731
186,0.782058
187,0.859279
188,0.836749
189,0.878240
190,1.074054
191,0.847528
192,0.782793
193,1.181058
194,0.930656
195,0.955716
196,1.034840
198,0.920967
199,0.925294
200,1.235827
202,0.571422
203,0.633429
204,0.718392
205,0.695792
206,0.801569
207,0.730402
208,0.798032
209,1.016803
210,0.862582
211,0.935237
212,0.965186
213,1.055486
214,1.056536
215,1.125501
216,1.235401
217,1.439481
218,1.613571
219,1.508238
220,1.426483
221,1.957576
222,1.525409
223,1.577365
224,1.726682
225,1.604815
226,1.614526
227,1.896958
229,1.848361
230,2.464279
232,1.142296
233,1.403666
234,1.417317
235,1.596009
236,1.415306
237,1.510517
238,1.812379
239,1.768852
240,1.897223
241,2.180653
242,2.068331
243,2.131390
244,2.525422
245,2.759122
246,2.874151
247,3.060157
248,2.541168
249,2.553054
250,3.312386
251,3.115871
252,3.262130
253,3.868672
254,4.141987
255,4.005485
256,4.817027
258,3.328841
259,3.337267
260,5.030479
262,1.666901
263,1.819237
265,2.046976
266,2.120425
267,2.362932
269,2.532508
270,2.732824
271,3.136252
273,2.879268
274,3.037185
275,3.330122
277,3.378082
278,3.720891
279,3.878041
281,4.104491
282,4.175543
283,4.732870
285,4.307110
286,4.659453
287,5.268523
289,5.081925
290,5.778084
291,5.690696
293,6.825861
294,6.896962
295,7.534900

CellID,Pressures
2,-0.024049
3,-0.023944
4,-0.023818
5,-0.023941
6,-0.024003
7,-0.023771
8,-0.023799
9,-0.023782
10,-0.023490
11,-0.023269
12,-0.023333
13,-0.023249
14,-0.023301
15,-0.023252
16,-0.023168
17,-0.023134
18,-0.023035
19,-0.022988
20,-0.022988
21,-0.022527
22,-0.022527
23,-0.022368
24,-0.022087
25,-0.022097
26,-0.022210
27,-0.021979
28,-0.021837
29,-0.022015
30,-0.021843
31,-0.021452
32,-0.021395
33,-0.021318
34,-0.021085
35,-0.020692
36,-0.020409
37,-0.020512
38,-0.020405
39,-0.020115
40,-0.020115
41,-0.019873
42,-0.019873
43,-0.019473
44,-0.018343
45,-0.018048
46,-0.017773
47,-0.016456
48,-0.016115
49,-0.016664
50,-0.016594
51,-0.017006
52,-0.016843
53,-0.016302
54,-0.015441
55,-0.014671
56,-0.013639
57,-0.012516
58,-0.010810
59,-0.010665
60,-0.010665
61,-0.013410
62,-0.010497
63,-0.010976
64,-0.007004
65,-0.002928
66,-0.004005
67,0.000726
68,0.000856
69,0.004857
70,0.002777
71,-0.006011
72,-0.003322
73,-0.001831
74,0.001611
75,0.007457
76,0.014863
77,0.013384
78,0.021974
79,0.021097
80,0.021097
81,0.004140
82,0.014961
83,0.017116
84,0.029787
85,0.035051
86,0.052188
87,0.045260
88,0.065585
89,0.098396
90,0.076986
91,0.019351
92,0.034342
93,0.050674
94,0.051612
95,0.070448
96,0.090039
97,0.083314
98,0.109258
99,0.193851
