EdgeID,Tension
6,0.853619
8,1.185481
10,1.567883
12,0.851465
14,0.163888
16,0.260947
18,0.284107
20,0.302739
23,0.769894
24,0.861680
25,0.943018
26,0.929754
27,1.087712
28,1.263749
29,1.109786
30,1.302347
31,1.334851
32,1.138176
33,1.344470
34,0.748227
35,1.224295
36,0.108881
37,0.193066
38,0.738648
39,0.242081
40,0.268072
41,0.197818
42,0.274126
43,0.270090
44,0.280062
45,0.299378
46,0.331045
47,0.309231
49,0.366811
50,0.366562
52,1.162138
53,1.057314
54,1.026739
55,1.089397
56,0.997610
57,1.098368
58,0.998069
59,1.183734
60,1.271122
61,1.147570
62,1.397967
63,1.302578
64,1.354310
65,0.719139
66,0.086774
67,0.767438
68,0.170659
69,0.246457
70,0.147328
71,0.314663
72,0.327036
73,0.292141
74,0.339038
75,0.348546
76,0.345631
78,0.342096
79,0.369887
80,0.357841
82,1.030872
83,0.978781
84,0.998306
85,1.019659
86,1.090544
87,1.082397
88,1.212971
89,1.110584
90,1.224545
91,1.215483
92,1.190725
93,1.359107
94,0.870629
95,1.343097
96,0.105566
97,0.182073
98,0.843343
99,0.227300
100,0.282599
101,0.186931
102,0.323641
103,0.320467
104,0.282836
105,0.345863
106,0.369247
107,0.360797
109,0.393831
110,0.384887
112,1.294112
113,1.208495
114,1.212381
115,1.198541
116,1.251246
117,1.314368
118,1.303019
119,1.287127
120,1.390684
121,1.522001
122,1.546208
123,1.430642
124,1.527594
125,0.810284
126,0.105381
127,0.819456
128,0.202275
129,0.268143
130,0.189145
131,0.324943
132,0.352440
133,0.348352
134,0.388296
135,0.418563
136,0.383671
138,0.425261
139,0.418580
140,0.454678
142,1.233793
143,1.290206
144,1.344027
145,1.400218
146,1.421774
147,1.391376
148,1.444332
149,1.629692
150,1.410849
151,1.408754
152,1.388744
153,1.583826
154,1.039413
155,1.471260
156,0.165860
157,0.245059
158,0.982048
159,0.294533
160,0.338860
161,0.278311
162,0.402587
163,0.423856
164,0.381045
165,0.466073
166,0.511928
167,0.473070
169,0.556446
170,0.590855
172,1.719335
173,1.581679
174,1.549817
175,1.623440
176,1.497976
177,1.685568
178,1.649783
179,1.814171
180,1.782516
181,1.912114
182,1.741601
183,1.638869
184,2.057935
185,0.922032
186,0.158940
187,0.992784
188,0.245739
189,0.336989
190,0.253777
191,0.433394
192,0.465948
193,0.425686
194,0.504649
195,0.532254
196,0.508265
198,0.510345
199,0.532582
200,0.562719
202,1.674761
203,1.793613
204,1.876293
205,1.888962
206,1.943725
207,1.840452
208,1.892530
209,2.225902
210,1.858506
211,1.861113
212,1.796092
213,2.044256
214,1.360348
215,1.917575
216,0.202910
217,0.292934
218,1.259653
219,0.359662
220,0.422313
221,0.354601
222,0.511484
223,0.558647
224,0.484594
225,0.615400
226,0.657664
227,0.584784
229,0.712992
230,0.759113
232,2.111783
233,2.074655
234,2.131407
235,2.063490
236,2.127364
237,2.217049
238,2.155235
239,2.336450
240,2.321432
241,2.352408
242,2.280265
243,2.169033
244,2.709521
245,1.180929
246,0.215460
247,1.380146
248,0.324555
249,0.436613
250,0.359926
251,0.558239
252,0.598004
253,0.558663
254,0.648529
255,0.695438
256,0.664235
258,0.680128
259,0.686741
260,0.760419
262,2.007927
263,2.021157
265,1.968393
266,1.914706
267,1.913900
269,2.064790
270,2.259791
271,2.207925
273,2.374603
274,2.677453
275,2.189239
277,3.110175
278,2.259740
279,2.921076
281,0.420745
282,0.442119
283,2.329843
285,0.490503
286,0.589092
287,0.449314
289,0.725904
290,0.787935
291,0.671987
293,0.856806
294,0.919293
295,0.898373

CellID,Pressures
2,-0.007699
3,-0.000786
4,0.014724
5,0.012439
6,-0.018647
7,-0.017478
8,-0.018752
9,-0.020883
10,-0.018230
11,0.005363
12,0.001561
13,0.005743
14,0.007263
15,0.006473
16,-0.018741
17,-0.018114
18,-0.019307
19,-0.019246
20,-0.019246
21,0.004404
22,0.004404
23,0.003347
24,0.009037
25,0.010371
26,-0.017578
27,-0.017457
28,-0.017031
29,-0.018156
30,-0.017990
31,0.008826
32,0.006327
33,0.006288
34,0.009415
35,0.011811
36,-0.017796
37,-0.018024
38,-0.017819
39,-0.017695
40,-0.017695
41,0.010553
42,0.010553
43,0.012113
44,0.014063
45,0.015045
46,-0.016158
47,-0.015609
48,-0.015791
49,-0.016239
50,-0.016195
51,0.015961
52,0.013876
53,0.014226
54,0.011803
55,0.017067
56,-0.015574
57,-0.015555
58,-0.014943
59,-0.014650
60,-0.014650
61,0.017008
62,0.017008
63,0.015743
64,0.024789
65,0.022991
66,-0.014403
67,-0.014131
68,-0.013229
69,-0.013084
70,-0.013794
71,0.018374
72,0.022674
73,0.021862
74,0.019558
75,0.027524
76,-0.014411
77,-0.013709
78,-0.012525
79,-0.011716
80,-0.011716
81,0.021826
82,0.021826
83,0.020885
84,0.032527
85,0.038017
86,-0.012292
87,-0.012610
88,-0.010299
89,-0.008913
90,-0.011779
91,0.015412
92,0.015579
93,0.023383
94,0.025010
95,0.065612
96,-0.012299
97,-0.013813
98,-0.005943
99,-0.000264
