EdgeID,Tension
6,0.535772
8,0.730054
10,0.933679
12,0.763049
14,0.792766
16,0.828672
18,0.704313
20,0.640474
23,0.485268
24,0.541525
25,0.589532
26,0.585153
27,0.673437
28,0.774098
29,0.691070
30,0.786275
31,0.783960
32,0.698230
33,0.749647
34,0.691255
35,0.731561
36,0.738500
37,0.835783
38,0.747490
39,0.850756
40,0.802870
41,0.754815
42,0.723496
43,0.645358
44,0.783259
45,0.657646
46,0.697535
47,0.706229
49,0.760551
50,0.765125
52,0.731828
53,0.665210
54,0.644055
55,0.684872
56,0.622963
57,0.682859
58,0.623485
59,0.732126
60,0.784644
61,0.711468
62,0.864926
63,0.828985
64,0.834290
65,0.789676
66,0.776976
67,0.775682
68,0.772553
69,0.846962
70,0.846453
71,0.927432
72,0.865422
73,0.926890
74,0.808449
75,0.781916
76,0.869892
78,0.730088
79,0.772619
80,0.783451
82,0.647477
83,0.612072
84,0.621501
85,0.633776
86,0.675462
87,0.670446
88,0.750552
89,0.685173
90,0.755186
91,0.742328
92,0.734938
93,0.800671
94,0.787459
95,0.828326
96,0.790986
97,0.863251
98,0.852524
99,0.832708
100,0.831443
101,0.746185
102,0.855281
103,0.777738
104,0.779452
105,0.779273
106,0.803317
107,0.836507
109,0.843482
110,0.829155
112,0.792644
113,0.742139
114,0.742848
115,0.730983
116,0.766273
117,0.804243
118,0.791312
119,0.790262
120,0.859732
121,0.924244
122,0.969583
123,0.935157
124,0.934101
125,0.898898
126,0.899963
127,0.873665
128,0.906436
129,0.937963
130,1.000216
131,0.948772
132,0.922629
133,1.103345
134,0.927094
135,0.951435
136,0.957935
138,0.930817
139,0.903103
140,1.014343
142,0.748552
143,0.778990
144,0.807774
145,0.840499
146,0.846761
147,0.834969
148,0.869871
149,0.965787
150,0.849908
151,0.844112
152,0.823704
153,0.919499
154,0.917486
155,0.881364
156,0.931187
157,1.044414
158,0.984839
159,1.034754
160,0.993864
161,1.040749
162,1.053306
163,1.032132
164,1.032730
165,1.064385
166,1.135891
167,1.106137
169,1.218786
170,1.299003
172,1.006521
173,0.929621
174,0.908032
175,0.945934
176,0.877693
177,0.984062
178,0.954744
179,1.059069
180,1.043225
181,1.097212
182,1.043299
183,1.030608
184,1.185422
185,1.068975
186,1.130716
187,1.079117
188,1.056510
189,1.104261
190,1.240004
191,1.226627
192,1.202291
193,1.278874
194,1.206190
195,1.222585
196,1.252363
198,1.135943
199,1.167795
200,1.270654
202,0.970025
203,1.034003
204,1.074029
205,1.074629
206,1.106493
207,1.040435
208,1.066777
209,1.243497
210,1.044974
211,1.042753
212,0.978148
213,1.126836
214,1.154647
215,1.038339
216,1.120501
217,1.201075
218,1.261478
219,1.195204
220,1.182382
221,1.225806
222,1.298276
223,1.340441
224,1.254613
225,1.412158
226,1.476237
227,1.357259
229,1.582512
230,1.689152
232,1.194967
233,1.173278
234,1.197419
235,1.165725
236,1.182834
237,1.207265
238,1.199346
239,1.245744
240,1.204538
241,1.250694
242,1.189882
243,1.160207
244,1.341030
245,1.119634
246,1.220801
247,1.188363
248,1.235389
249,1.305976
250,1.249097
251,1.475825
252,1.480859
253,1.507313
254,1.522847
255,1.591431
256,1.587573
258,1.525133
259,1.524391
260,1.724626
262,1.133155
263,1.136945
265,1.098804
266,1.050572
267,1.073645
269,1.104854
270,1.167797
271,1.194904
273,1.175287
274,1.219459
275,1.104679
277,1.270770
278,1.251749
279,1.245009
281,1.255272
282,1.321308
283,1.331919
285,1.352209
286,1.505987
287,1.267674
289,1.756104
290,1.848698
291,1.647537
293,1.961886
294,2.087500
295,2.069426

CellID,Pressures
2,-0.015436
3,-0.011041
4,-0.001509
5,-0.003234
6,-0.009581
7,-0.001032
8,-0.005611
9,-0.010490
10,-0.004737
11,-0.007248
12,-0.009616
13,-0.006987
14,-0.006066
15,-0.006945
16,-0.006360
17,-0.003926
18,-0.007042
19,-0.006878
20,-0.006878
21,-0.007874
22,-0.007874
23,-0.008485
24,-0.004863
25,-0.003859
26,-0.005077
27,-0.002438
28,-0.001324
29,-0.004349
30,-0.004027
31,-0.005220
32,-0.006709
33,-0.006617
34,-0.004465
35,-0.002894
36,-0.004191
37,-0.004975
38,-0.003811
39,-0.003309
40,-0.003309
41,-0.004268
42,-0.004268
43,-0.003229
44,-0.001814
45,-0.000557
46,-0.001479
47,0.002192
48,0.001385
49,0.000113
50,0.000213
51,-0.001259
52,-0.002426
53,-0.002142
54,-0.003207
55,0.000091
56,0.000804
57,0.001430
58,0.003197
59,0.003835
60,0.003835
61,-0.000873
62,-0.000873
63,-0.001630
64,0.003698
65,0.003564
66,0.004440
67,0.005519
68,0.007522
69,0.007605
70,0.005943
71,-0.000374
72,0.002021
73,0.001316
74,-0.000176
75,0.004318
76,0.005356
77,0.005620
78,0.008747
79,0.010691
80,0.010691
81,0.001410
82,0.001410
83,0.000642
84,0.006121
85,0.006883
86,0.004589
87,0.007066
88,0.013756
89,0.017151
90,0.010636
91,-0.002198
92,-0.002148
93,0.001825
94,0.001990
95,0.009500
96,0.006269
97,0.004542
98,0.024315
99,0.036957
